id,user,deci,sex,age,kno1,kno2,kno3,kno4,kno5,kno6,kno7,kno8,inno,att1,att2,att3,att4,att5,att6,att7,att8,interest,re_att1,re_att2,re_att3,re_att4,re_att5,re_att6,re_att7,re_att8,re_kno1,re_kno2,re_kno3,re_kno4,re_kno5,re_kno6,re_kno7,re_kno8,attitude,knowledge
268,regular residence,2,female,50,1,1,1,1,1,1,1,1,laggards,3,3,4,2,3,4,4,5,definitely not,2,2,3,1,2,3,3,4,0,0,0,0,0,0,0,0,2.5,0
271,regular residence,2,female,24,2,1,2,2,2,2,3,2,early majority,3,5,4,3,5,5,5,5,definitely going to,2,4,3,2,4,4,4,4,1,0,1,1,1,1,2,1,3.375,1
273,regular residence,2,male,33,2,1,2,1,2,1,2,1,early majority,4,5,4,5,5,5,5,3,probably will,3,4,3,4,4,4,4,2,1,0,1,0,1,0,1,0,3.5,0.5
274,regular residence,2,female,40,1,1,3,3,2,2,2,2,early majority,3,4,4,4,4,4,4,3,likely to,2,3,3,3,3,3,3,2,0,0,2,2,1,1,1,1,2.75,1
275,regular residence,2,female,32,1,1,1,1,1,1,1,1,early adopters,5,4,4,4,4,4,4,5,probably will,4,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,3.25,0
277,small residence,2,female,53,1,1,1,1,1,1,1,1,laggards,1,4,3,5,5,4,5,3,probably will,0,3,2,4,4,3,4,2,0,0,0,0,0,0,0,0,2.75,0
278,regular residence,2,male,58,3,3,3,3,3,3,3,3,early majority,3,3,3,3,3,4,4,3,probably will,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2.25,2
280,regular residence,2,male,59,1,1,1,1,1,1,1,1,early majority,4,4,3,4,4,3,4,3,probably will,3,3,2,3,3,2,3,2,0,0,0,0,0,0,0,0,2.625,0
281,regular residence,2,male,52,1,1,2,2,2,3,2,3,laggards,3,4,4,4,4,4,4,4,definitely not,2,3,3,3,3,3,3,3,0,0,1,1,1,2,1,2,2.875,1
282,small residence,2,female,21,1,1,1,1,1,1,1,1,late majority,3,3,5,5,2,4,4,3,definitely not,2,2,4,4,1,3,3,2,0,0,0,0,0,0,0,0,2.625,0
283,regular residence,2,male,57,1,1,1,1,2,1,1,2,early majority,4,5,5,5,5,5,5,5,probably will,3,4,4,4,4,4,4,4,0,0,0,0,1,0,0,1,3.875,0.25
284,regular residence,2,male,33,4,3,3,4,3,4,4,1,late majority,3,4,4,3,5,5,4,2,probably will,2,3,3,2,4,4,3,1,3,2,2,3,2,3,3,0,2.75,2.25
285,regular residence,2,female,27,3,4,3,2,4,4,3,3,early adopters,4,3,4,4,3,3,3,3,definitely not,3,2,3,3,2,2,2,2,2,3,2,1,3,3,2,2,2.375,2.25
286,regular residence,2,male,45,3,1,1,1,2,1,1,1,early majority,1,3,3,3,5,5,5,1,probably not,0,2,2,2,4,4,4,0,2,0,0,0,1,0,0,0,2.25,0.375
287,regular residence,2,female,49,3,3,3,3,3,3,3,3,early majority,3,5,5,3,5,4,5,5,probably will,2,4,4,2,4,3,4,4,2,2,2,2,2,2,2,2,3.375,2
288,small residence,2,female,53,2,2,3,3,2,2,2,2,laggards,3,3,2,2,3,4,4,3,probably not,2,2,1,1,2,3,3,2,1,1,2,2,1,1,1,1,2,1.25
290,regular residence,2,female,66,2,1,1,1,1,1,1,1,late majority,3,5,3,3,4,5,5,5,likely to,2,4,2,2,3,4,4,4,1,0,0,0,0,0,0,0,3.125,0.125
291,regular residence,2,female,42,1,1,1,1,1,1,1,1,innovators,4,4,4,4,5,5,5,5,definitely not,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,3.5,0
292,small residence,2,male,52,2,2,3,2,4,1,3,3,early majority,4,3,4,3,4,4,4,4,probably not,3,2,3,2,3,3,3,3,1,1,2,1,3,0,2,2,2.75,1.5
293,regular residence,2,female,37,1,2,2,2,1,1,2,2,innovators,3,3,3,3,4,3,3,2,probably not,2,2,2,2,3,2,2,1,0,1,1,1,0,0,1,1,2,0.625
